Station Code,Capital,County,Distance,Station Lat,Station Lon,Capital Lat,Capital Lon
KTKC0,Marshall,Lyon County,25.742751705652516,44.2491,-95.6073,44.41,-95.84
KCDD0,International Falls,Koochiching County,77.85204292640566,48.2666,-92.4835,48.601033,-93.4105904
KCNB0,Ivanhoe,Lincoln County,29.644698796335206,44.7295,-96.266,44.463229,-96.247372
KBDH0,Willmar,Kandiyohi County,6.751626744062591,45.117,-95.1293,45.1219492,-95.0435373
KRYM0,Little Falls,Morrison County,12.771172435766166,46.0912,-94.3605,45.9763545,-94.3625024
KY630,Elbow Lake,Grant County,1.4798674573053514,45.9861,-95.992,45.994127,-95.976721
KD390,Long Prairie,Todd County,30.21068875266219,45.7066,-94.9334,45.9741126,-94.8652642
KY490,Walker,Cass County,7.892846565402101,47.1596,-94.6454,47.101709,-94.585026
P6529,Roseau,Roseau County,10.159211563115665,48.85,-95.7,48.7710371,-95.7697882
UYB6K,Thief River Falls,Pennington County,5.637731178154876,48.0667,-96.1833,48.1172301,-96.1770667
X9FED,Baudette,Lake of the Woods County,62.86690621883615,48.1501,-94.512,48.7124408,-94.600171
9NRIJ,Anoka,Anoka County,15.29818435208287,45.1426,-93.2127,45.2710195,-93.2827625
Z7ZOG,Redwood Falls,Redwood County,3.024368101598477,44.5483,-95.0804,44.5393721,-95.1164478
72644,Rochester,Olmsted County,14.041289561641303,43.9,-92.5,44.0234387,-92.4630182
72755,Bemidji,Beltrami County,3.9870975199867575,47.5,-94.9333,47.4785418,-94.8907869
